Rainfall - (MM), Year, Statistics, Country, ISO3
28.1, 1991, Jan Average, Vietnam, VNM
17.1, 1991, Feb Average, Vietnam, VNM
41.6, 1991, Mar Average, Vietnam, VNM
50.8, 1991, Apr Average, Vietnam, VNM
134.1, 1991, May Average, Vietnam, VNM
252.7, 1991, Jun Average, Vietnam, VNM
260.4, 1991, Jul Average, Vietnam, VNM
273.9, 1991, Aug Average, Vietnam, VNM
244.3, 1991, Sep Average, Vietnam, VNM
223.7, 1991, Oct Average, Vietnam, VNM
136.2, 1991, Nov Average, Vietnam, VNM
95.7, 1991, Dec Average, Vietnam, VNM
87.8, 1992, Jan Average, Vietnam, VNM
46.5, 1992, Feb Average, Vietnam, VNM
28.5, 1992, Mar Average, Vietnam, VNM
42.3, 1992, Apr Average, Vietnam, VNM
155.8, 1992, May Average, Vietnam, VNM
220.3, 1992, Jun Average, Vietnam, VNM
280.4, 1992, Jul Average, Vietnam, VNM
192.7, 1992, Aug Average, Vietnam, VNM
233.1, 1992, Sep Average, Vietnam, VNM
190.6, 1992, Oct Average, Vietnam, VNM
129.8, 1992, Nov Average, Vietnam, VNM
113.8, 1992, Dec Average, Vietnam, VNM
33.4, 1993, Jan Average, Vietnam, VNM
35.4, 1993, Feb Average, Vietnam, VNM
31.8, 1993, Mar Average, Vietnam, VNM
72.1, 1993, Apr Average, Vietnam, VNM
168.5, 1993, May Average, Vietnam, VNM
210.5, 1993, Jun Average, Vietnam, VNM
221.8, 1993, Jul Average, Vietnam, VNM
265.7, 1993, Aug Average, Vietnam, VNM
263.9, 1993, Sep Average, Vietnam, VNM
174.3, 1993, Oct Average, Vietnam, VNM
145.2, 1993, Nov Average, Vietnam, VNM
69.6, 1993, Dec Average, Vietnam, VNM
24.1, 1994, Jan Average, Vietnam, VNM
31.6, 1994, Feb Average, Vietnam, VNM
50.5, 1994, Mar Average, Vietnam, VNM
43.8, 1994, Apr Average, Vietnam, VNM
212.0, 1994, May Average, Vietnam, VNM
244.4, 1994, Jun Average, Vietnam, VNM
347.8, 1994, Jul Average, Vietnam, VNM
290.0, 1994, Aug Average, Vietnam, VNM
295.9, 1994, Sep Average, Vietnam, VNM
213.7, 1994, Oct Average, Vietnam, VNM
146.0, 1994, Nov Average, Vietnam, VNM
107.9, 1994, Dec Average, Vietnam, VNM
35.9, 1995, Jan Average, Vietnam, VNM
24.2, 1995, Feb Average, Vietnam, VNM
30.2, 1995, Mar Average, Vietnam, VNM
51.0, 1995, Apr Average, Vietnam, VNM
148.5, 1995, May Average, Vietnam, VNM
241.7, 1995, Jun Average, Vietnam, VNM
275.3, 1995, Jul Average, Vietnam, VNM
279.7, 1995, Aug Average, Vietnam, VNM
257.2, 1995, Sep Average, Vietnam, VNM
221.7, 1995, Oct Average, Vietnam, VNM
191.5, 1995, Nov Average, Vietnam, VNM
59.4, 1995, Dec Average, Vietnam, VNM
26.3, 1996, Jan Average, Vietnam, VNM
20.7, 1996, Feb Average, Vietnam, VNM
61.7, 1996, Mar Average, Vietnam, VNM
71.0, 1996, Apr Average, Vietnam, VNM
159.1, 1996, May Average, Vietnam, VNM
212.7, 1996, Jun Average, Vietnam, VNM
251.1, 1996, Jul Average, Vietnam, VNM
268.6, 1996, Aug Average, Vietnam, VNM
303.7, 1996, Sep Average, Vietnam, VNM
230.7, 1996, Oct Average, Vietnam, VNM
264.7, 1996, Nov Average, Vietnam, VNM
61.1, 1996, Dec Average, Vietnam, VNM
45.6, 1997, Jan Average, Vietnam, VNM
32.2, 1997, Feb Average, Vietnam, VNM
59.5, 1997, Mar Average, Vietnam, VNM
99.5, 1997, Apr Average, Vietnam, VNM
152.9, 1997, May Average, Vietnam, VNM
201.5, 1997, Jun Average, Vietnam, VNM
304.0, 1997, Jul Average, Vietnam, VNM
254.2, 1997, Aug Average, Vietnam, VNM
256.6, 1997, Sep Average, Vietnam, VNM
252.9, 1997, Oct Average, Vietnam, VNM
124.0, 1997, Nov Average, Vietnam, VNM
79.3, 1997, Dec Average, Vietnam, VNM
29.9, 1998, Jan Average, Vietnam, VNM
34.3, 1998, Feb Average, Vietnam, VNM
40.0, 1998, Mar Average, Vietnam, VNM
73.4, 1998, Apr Average, Vietnam, VNM
149.3, 1998, May Average, Vietnam, VNM
248.6, 1998, Jun Average, Vietnam, VNM
260.3, 1998, Jul Average, Vietnam, VNM
219.2, 1998, Aug Average, Vietnam, VNM
242.1, 1998, Sep Average, Vietnam, VNM
199.0, 1998, Oct Average, Vietnam, VNM
190.4, 1998, Nov Average, Vietnam, VNM
101.8, 1998, Dec Average, Vietnam, VNM
60.6, 1999, Jan Average, Vietnam, VNM
16.7, 1999, Feb Average, Vietnam, VNM
35.4, 1999, Mar Average, Vietnam, VNM
76.0, 1999, Apr Average, Vietnam, VNM
200.5, 1999, May Average, Vietnam, VNM
203.5, 1999, Jun Average, Vietnam, VNM
264.1, 1999, Jul Average, Vietnam, VNM
270.5, 1999, Aug Average, Vietnam, VNM
260.5, 1999, Sep Average, Vietnam, VNM
253.8, 1999, Oct Average, Vietnam, VNM
246.7, 1999, Nov Average, Vietnam, VNM
94.0, 1999, Dec Average, Vietnam, VNM
36.3, 2000, Jan Average, Vietnam, VNM
28.9, 2000, Feb Average, Vietnam, VNM
34.4, 2000, Mar Average, Vietnam, VNM
73.0, 2000, Apr Average, Vietnam, VNM
194.8, 2000, May Average, Vietnam, VNM
202.5, 2000, Jun Average, Vietnam, VNM
272.3, 2000, Jul Average, Vietnam, VNM
224.7, 2000, Aug Average, Vietnam, VNM
243.8, 2000, Sep Average, Vietnam, VNM
272.6, 2000, Oct Average, Vietnam, VNM
123.5, 2000, Nov Average, Vietnam, VNM
67.0, 2000, Dec Average, Vietnam, VNM
31.1, 2001, Jan Average, Vietnam, VNM
31.4, 2001, Feb Average, Vietnam, VNM
54.4, 2001, Mar Average, Vietnam, VNM
55.2, 2001, Apr Average, Vietnam, VNM
201.0, 2001, May Average, Vietnam, VNM
243.7, 2001, Jun Average, Vietnam, VNM
305.3, 2001, Jul Average, Vietnam, VNM
293.3, 2001, Aug Average, Vietnam, VNM
258.2, 2001, Sep Average, Vietnam, VNM
258.7, 2001, Oct Average, Vietnam, VNM
196.7, 2001, Nov Average, Vietnam, VNM
74.7, 2001, Dec Average, Vietnam, VNM
31.2, 2002, Jan Average, Vietnam, VNM
20.9, 2002, Feb Average, Vietnam, VNM
53.8, 2002, Mar Average, Vietnam, VNM
55.4, 2002, Apr Average, Vietnam, VNM
199.4, 2002, May Average, Vietnam, VNM
238.3, 2002, Jun Average, Vietnam, VNM
286.9, 2002, Jul Average, Vietnam, VNM
284.9, 2002, Aug Average, Vietnam, VNM
262.2, 2002, Sep Average, Vietnam, VNM
222.3, 2002, Oct Average, Vietnam, VNM
161.5, 2002, Nov Average, Vietnam, VNM
148.8, 2002, Dec Average, Vietnam, VNM
41.3, 2003, Jan Average, Vietnam, VNM
29.6, 2003, Feb Average, Vietnam, VNM
45.3, 2003, Mar Average, Vietnam, VNM
58.2, 2003, Apr Average, Vietnam, VNM
160.3, 2003, May Average, Vietnam, VNM
226.7, 2003, Jun Average, Vietnam, VNM
215.4, 2003, Jul Average, Vietnam, VNM
275.0, 2003, Aug Average, Vietnam, VNM
291.3, 2003, Sep Average, Vietnam, VNM
179.9, 2003, Oct Average, Vietnam, VNM
119.7, 2003, Nov Average, Vietnam, VNM
55.6, 2003, Dec Average, Vietnam, VNM
49.3, 2004, Jan Average, Vietnam, VNM
37.4, 2004, Feb Average, Vietnam, VNM
31.0, 2004, Mar Average, Vietnam, VNM
88.7, 2004, Apr Average, Vietnam, VNM
177.0, 2004, May Average, Vietnam, VNM
200.7, 2004, Jun Average, Vietnam, VNM
290.6, 2004, Jul Average, Vietnam, VNM
234.7, 2004, Aug Average, Vietnam, VNM
230.6, 2004, Sep Average, Vietnam, VNM
166.6, 2004, Oct Average, Vietnam, VNM
135.3, 2004, Nov Average, Vietnam, VNM
54.1, 2004, Dec Average, Vietnam, VNM
27.7, 2005, Jan Average, Vietnam, VNM
18.3, 2005, Feb Average, Vietnam, VNM
46.6, 2005, Mar Average, Vietnam, VNM
63.3, 2005, Apr Average, Vietnam, VNM
156.9, 2005, May Average, Vietnam, VNM
272.8, 2005, Jun Average, Vietnam, VNM
267.3, 2005, Jul Average, Vietnam, VNM
268.2, 2005, Aug Average, Vietnam, VNM
289.0, 2005, Sep Average, Vietnam, VNM
178.9, 2005, Oct Average, Vietnam, VNM
204.6, 2005, Nov Average, Vietnam, VNM
86.3, 2005, Dec Average, Vietnam, VNM
26.0, 2006, Jan Average, Vietnam, VNM
26.9, 2006, Feb Average, Vietnam, VNM
40.3, 2006, Mar Average, Vietnam, VNM
79.7, 2006, Apr Average, Vietnam, VNM
155.8, 2006, May Average, Vietnam, VNM
196.5, 2006, Jun Average, Vietnam, VNM
283.8, 2006, Jul Average, Vietnam, VNM
263.5, 2006, Aug Average, Vietnam, VNM
207.2, 2006, Sep Average, Vietnam, VNM
293.1, 2006, Oct Average, Vietnam, VNM
190.7, 2006, Nov Average, Vietnam, VNM
52.6, 2006, Dec Average, Vietnam, VNM
29.5, 2007, Jan Average, Vietnam, VNM
28.5, 2007, Feb Average, Vietnam, VNM
34.0, 2007, Mar Average, Vietnam, VNM
75.1, 2007, Apr Average, Vietnam, VNM
156.0, 2007, May Average, Vietnam, VNM
235.9, 2007, Jun Average, Vietnam, VNM
238.3, 2007, Jul Average, Vietnam, VNM
268.5, 2007, Aug Average, Vietnam, VNM
267.8, 2007, Sep Average, Vietnam, VNM
294.0, 2007, Oct Average, Vietnam, VNM
150.8, 2007, Nov Average, Vietnam, VNM
58.3, 2007, Dec Average, Vietnam, VNM
38.7, 2008, Jan Average, Vietnam, VNM
31.7, 2008, Feb Average, Vietnam, VNM
44.8, 2008, Mar Average, Vietnam, VNM
73.3, 2008, Apr Average, Vietnam, VNM
160.8, 2008, May Average, Vietnam, VNM
252.0, 2008, Jun Average, Vietnam, VNM
273.7, 2008, Jul Average, Vietnam, VNM
278.0, 2008, Aug Average, Vietnam, VNM
297.3, 2008, Sep Average, Vietnam, VNM
264.4, 2008, Oct Average, Vietnam, VNM
220.3, 2008, Nov Average, Vietnam, VNM
85.2, 2008, Dec Average, Vietnam, VNM
22.8, 2009, Jan Average, Vietnam, VNM
14.5, 2009, Feb Average, Vietnam, VNM
44.1, 2009, Mar Average, Vietnam, VNM
81.2, 2009, Apr Average, Vietnam, VNM
