Temperature - (Celsius), Year, Statistics, Country, ISO3
21.0, 1991, Jan Average, Vietnam, VNM
21.6, 1991, Feb Average, Vietnam, VNM
23.6, 1991, Mar Average, Vietnam, VNM
26.1, 1991, Apr Average, Vietnam, VNM
27.4, 1991, May Average, Vietnam, VNM
27.5, 1991, Jun Average, Vietnam, VNM
27.4, 1991, Jul Average, Vietnam, VNM
26.9, 1991, Aug Average, Vietnam, VNM
26.7, 1991, Sep Average, Vietnam, VNM
24.8, 1991, Oct Average, Vietnam, VNM
22.5, 1991, Nov Average, Vietnam, VNM
21.3, 1991, Dec Average, Vietnam, VNM
19.1, 1992, Jan Average, Vietnam, VNM
20.4, 1992, Feb Average, Vietnam, VNM
22.4, 1992, Mar Average, Vietnam, VNM
26.5, 1992, Apr Average, Vietnam, VNM
27.7, 1992, May Average, Vietnam, VNM
27.5, 1992, Jun Average, Vietnam, VNM
27.1, 1992, Jul Average, Vietnam, VNM
27.4, 1992, Aug Average, Vietnam, VNM
26.8, 1992, Sep Average, Vietnam, VNM
23.9, 1992, Oct Average, Vietnam, VNM
21.9, 1992, Nov Average, Vietnam, VNM
21.4, 1992, Dec Average, Vietnam, VNM
19.2, 1993, Jan Average, Vietnam, VNM
21.2, 1993, Feb Average, Vietnam, VNM
22.5, 1993, Mar Average, Vietnam, VNM
25.5, 1993, Apr Average, Vietnam, VNM
27.2, 1993, May Average, Vietnam, VNM
27.9, 1993, Jun Average, Vietnam, VNM
27.8, 1993, Jul Average, Vietnam, VNM
27.2, 1993, Aug Average, Vietnam, VNM
26.5, 1993, Sep Average, Vietnam, VNM
24.5, 1993, Oct Average, Vietnam, VNM
23.1, 1993, Nov Average, Vietnam, VNM
20.4, 1993, Dec Average, Vietnam, VNM
20.9, 1994, Jan Average, Vietnam, VNM
22.1, 1994, Feb Average, Vietnam, VNM
21.3, 1994, Mar Average, Vietnam, VNM
26.7, 1994, Apr Average, Vietnam, VNM
27.5, 1994, May Average, Vietnam, VNM
27.0, 1994, Jun Average, Vietnam, VNM
27.0, 1994, Jul Average, Vietnam, VNM
27.0, 1994, Aug Average, Vietnam, VNM
26.3, 1994, Sep Average, Vietnam, VNM
24.3, 1994, Oct Average, Vietnam, VNM
23.4, 1994, Nov Average, Vietnam, VNM
22.1, 1994, Dec Average, Vietnam, VNM
19.9, 1995, Jan Average, Vietnam, VNM
20.2, 1995, Feb Average, Vietnam, VNM
22.3, 1995, Mar Average, Vietnam, VNM
26.3, 1995, Apr Average, Vietnam, VNM
27.2, 1995, May Average, Vietnam, VNM
27.9, 1995, Jun Average, Vietnam, VNM
27.3, 1995, Jul Average, Vietnam, VNM
26.9, 1995, Aug Average, Vietnam, VNM
26.4, 1995, Sep Average, Vietnam, VNM
25.1, 1995, Oct Average, Vietnam, VNM
22.6, 1995, Nov Average, Vietnam, VNM
20.4, 1995, Dec Average, Vietnam, VNM
20.0, 1996, Jan Average, Vietnam, VNM
19.7, 1996, Feb Average, Vietnam, VNM
22.4, 1996, Mar Average, Vietnam, VNM
24.2, 1996, Apr Average, Vietnam, VNM
26.4, 1996, May Average, Vietnam, VNM
27.4, 1996, Jun Average, Vietnam, VNM
27.3, 1996, Jul Average, Vietnam, VNM
27.1, 1996, Aug Average, Vietnam, VNM
26.1, 1996, Sep Average, Vietnam, VNM
25.2, 1996, Oct Average, Vietnam, VNM
23.5, 1996, Nov Average, Vietnam, VNM
20.6, 1996, Dec Average, Vietnam, VNM
20.2, 1997, Jan Average, Vietnam, VNM
20.5, 1997, Feb Average, Vietnam, VNM
22.5, 1997, Mar Average, Vietnam, VNM
24.7, 1997, Apr Average, Vietnam, VNM
27.3, 1997, May Average, Vietnam, VNM
27.6, 1997, Jun Average, Vietnam, VNM
27.1, 1997, Jul Average, Vietnam, VNM
27.4, 1997, Aug Average, Vietnam, VNM
25.8, 1997, Sep Average, Vietnam, VNM
25.6, 1997, Oct Average, Vietnam, VNM
24.1, 1997, Nov Average, Vietnam, VNM
22.2, 1997, Dec Average, Vietnam, VNM
21.2, 1998, Jan Average, Vietnam, VNM
22.2, 1998, Feb Average, Vietnam, VNM
23.5, 1998, Mar Average, Vietnam, VNM
26.8, 1998, Apr Average, Vietnam, VNM
27.9, 1998, May Average, Vietnam, VNM
28.1, 1998, Jun Average, Vietnam, VNM
27.8, 1998, Jul Average, Vietnam, VNM
27.7, 1998, Aug Average, Vietnam, VNM
26.7, 1998, Sep Average, Vietnam, VNM
25.7, 1998, Oct Average, Vietnam, VNM
23.8, 1998, Nov Average, Vietnam, VNM
21.8, 1998, Dec Average, Vietnam, VNM
20.5, 1999, Jan Average, Vietnam, VNM
21.9, 1999, Feb Average, Vietnam, VNM
23.0, 1999, Mar Average, Vietnam, VNM
25.7, 1999, Apr Average, Vietnam, VNM
25.9, 1999, May Average, Vietnam, VNM
27.4, 1999, Jun Average, Vietnam, VNM
27.4, 1999, Jul Average, Vietnam, VNM
27.0, 1999, Aug Average, Vietnam, VNM
26.5, 1999, Sep Average, Vietnam, VNM
25.3, 1999, Oct Average, Vietnam, VNM
23.1, 1999, Nov Average, Vietnam, VNM
19.3, 1999, Dec Average, Vietnam, VNM
20.7, 2000, Jan Average, Vietnam, VNM
20.2, 2000, Feb Average, Vietnam, VNM
22.2, 2000, Mar Average, Vietnam, VNM
25.3, 2000, Apr Average, Vietnam, VNM
26.4, 2000, May Average, Vietnam, VNM
27.0, 2000, Jun Average, Vietnam, VNM
27.2, 2000, Jul Average, Vietnam, VNM
27.4, 2000, Aug Average, Vietnam, VNM
26.2, 2000, Sep Average, Vietnam, VNM
25.1, 2000, Oct Average, Vietnam, VNM
22.4, 2000, Nov Average, Vietnam, VNM
21.8, 2000, Dec Average, Vietnam, VNM
21.4, 2001, Jan Average, Vietnam, VNM
21.4, 2001, Feb Average, Vietnam, VNM
22.5, 2001, Mar Average, Vietnam, VNM
26.5, 2001, Apr Average, Vietnam, VNM
26.4, 2001, May Average, Vietnam, VNM
27.0, 2001, Jun Average, Vietnam, VNM
27.3, 2001, Jul Average, Vietnam, VNM
27.2, 2001, Aug Average, Vietnam, VNM
26.8, 2001, Sep Average, Vietnam, VNM
25.4, 2001, Oct Average, Vietnam, VNM
21.9, 2001, Nov Average, Vietnam, VNM
